"ID","Population","Clade","Bib","Room","Treatment","OCT_RTL","JAN_RTL","MAY_RTL","OCT_RTL_NEW","JAN_RTL_NEW","MAY_RTL_NEW","MSR_JAN","MTG_JAN","MTO_JAN","MSR_MAY","MTG_MAY","MTO_MAY","Mass_JAN","SVL_JAN","Mass_MAY","SVL_MAY","CHANGE_SVL","CHANGE_MASS","CHANGE_BCI","JAN","MAY","JAN_NEW","MAY_NEW"
290,"STURT","North","N","Room 3","Cool",1.114937,0.810107,1.34914,0.444344924,3.165858509,0.470680644,486,1216,3781,592,1436,6963,15.298,74,18.985,77,3,3.687,-2.2986722,1.278524411,1.046893654,2.129707713,1.587843965
291,"STURT","North","N","Room 1","Warm",0.932253,1.02163,0.930051,1.281239282,0.044814843,5.263240012,798,1411,4185,1337,1989,2854,13.317,69,15.451,71,2,2.134,-1.1644633,0.733061592,1.172349647,1.842412135,1.094720383
293,"STURT","North","Y","Room 1","Warm",1.146751,1.058258,1.046467,0.330595237,0.373127058,0.790861381,872,1628,7283,465,976,3616,14.532,69,14.323,73,4,-0.209,5.1025492,NA,NA,NA,NA
294,"STURT","North","N","Room 3","Cool",0.950037,1.015825,1.233646,5.112837361,2.252826968,0.299985329,671,2312,8760,602,1868,3481,14.945,71,14.946,74,3,0.001,3.8501075,1.344997276,1.018363433,3.486515707,0.914039077
297,"STURT","North","Y","Room 2","Warm",0.993526,1.06003,0.985633,0.610492665,0.091427201,1.31235906,558,1201,3198,1799,1936,4060,16.104,74,20.092,79,5,3.988,-0.6071896,1.252884937,1.409429284,0.979377631,5.932429499
298,"STURT","North","Y","Room 1","Cool",0.974127,1.001679,0.93987,0.810073498,2.701868556,1.234320562,671,2312,8760,489,1479,2761,18.461,79,18.906,78,-1,0.445,-0.0253049,1.301000186,1.054506409,0.607031333,1.370927691
299,"STURT","North","Y","Room 1","Warm",1.028215,1.397868,1.095979,0.978401432,0.137822923,0.434573002,520,791,4993,NA,NA,NA,14.407,77,18.332,81,4,3.925,-1.9233163,1.069862548,1.446261024,2.728094579,1.322105186
302,"STURT","North","N","Room 2","Cool",0.965488,1.211172,1.342871,1.4108826,0.065891902,0.107715024,721,2007,9975,663,1251,4830,15.563,75,13.145,75,0,-2.418,5.0969993,1.121797419,0.970175596,0.255844081,0.982461916
303,"STURT","North","Y","Room 3","Warm",2.613146,1.594433,1.174807,0.095667656,0.052487077,0.296784641,NA,NA,NA,939,2096,7222,14.522,75,16.198,77,2,1.676,-0.0893618,1.282676711,1.041146689,0.776951772,7.216639762
304,"STURT","North","Y","Room 3","Warm",0.998623,1.41307,1.04773,0.958549172,0.012674844,0.775265563,542,1526,5738,722,1444,3538,11.981,74,11.233,72,-2,-0.748,-0.6209169,1.201437808,1.054792488,3.732386696,1.628064229
305,"STURT","North","N","Room 3","Warm",1.51095,1.048052,1.017741,0.616618077,0.38645344,0.424030088,471,1019,2123,1165,2472,17567,14.686,76,15.177,75,-1,0.491,-1.0434894,1.277828726,1.100261942,10.30715194,9.239349588
308,"STURT","North","N","Room 3","Cool",1.389229,0.863877,1.267596,0.597575441,3.250471036,0.089799865,1860,3954,8845,811,2073,5024,15.673,72,14.701,74,2,-0.972,4.6777683,0.98866337,1.229734293,0.484884845,3.496055165
309,"STURT","North","Y","Room 1","Warm",0.937078,0.974426,0.982912,1.570922822,0.675361066,0.782897982,954,501,2995,614,1916,4882,16.799,75,17.826,76,1,1.027,0.5759469,1.221936042,0.928780793,0.389322561,1.54817904
311,"STURT","North","N","Room 3","Cool",0.908046,0.996484,0.934998,0.291658211,1.24115989,0.911360212,501,389,3886,NA,NA,NA,15.484,76,15.138,77,1,-0.346,2.5714964,1.203037566,1.03091032,1.720442416,4.069439692
312,"STURT","North","N","Room 1","Cool",1.024176,0.983685,1.143339,0.376988724,0.913382236,0.262290012,472,365,6283,624,3082,17608,15.036,80,13.837,79,-1,-1.199,1.9031756,1.09539148,0.866653262,0.886498296,3.650689693
315,"STURT","North","N","Room 2","Warm",0.931412,0.915693,1.002808,3.147568118,1.128143353,1.682490994,493,481,4738,562,2840,13496,14.439,70,14.217,72,2,-0.222,3.1013789,0.969804125,1.119444883,0.454411498,2.977647518
317,"STURT","North","N","Room 2","Warm",1.174698,1.004876,1.025481,2.248381434,1.577190749,2.322272684,869,1203,5560,869,1324,5228,15.229,76,14.551,78,2,-0.678,4.0697199,1.316100753,1.401666779,0.573929853,2.463549128
318,"STURT","North","Y","Room 1","Cool",1.255053,0.944654,0.956379,2.118808642,2.292771638,1.400237963,633,1380,10991,491,1346,2826,16.279,77,18.203,78,1,1.924,-1.0713091,0.922707662,0.855383722,3.023538883,3.842504161
319,"STURT","North","N","Room 2","Cool",1.009371,0.937723,NA,0.926821449,1.57071849,NA,545,970,6137,565,2460,10441,12.734,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"MR","North","N","Room 3","Cool",0.904246,1.073793,0.880127,2.222826838,1.792356746,2.20997269,614,1371,4876,558,2671,8912,13.059,69,14.302,72,3,1.243,1.2788409,1.321599126,1.041496946,2.98756335,2.889330982
321,"MR","North","N","Room 3","Warm",0.895792,1.094451,0.803727,0.534933285,0.894838805,0.371108467,NA,NA,NA,991,1352,2851,17.484,80,17.758,80,0,0.274,1.0206564,1.177335551,1.019817174,3.761897194,5.50110559
322,"MR","North","Y","Room 3","Warm",0.890284,0.972971,0.81031,1.713787721,1.089216557,2.41994654,716,1372,7675,845,2091,8047,13.301,73,15.14,73,0,1.839,-2.6693089,1.17144607,1.381151163,1.070237384,1.680840302
323,"MR","North","Y","Room 1","Cool",1.192759,0.985669,1.126364,0.392633287,0.719699882,0.368138928,2312,696,2173,538,1425,3185,11.582,66,12.168,66,0,0.586,-0.9774358,1.146127246,1.084112736,0.764055533,7.646219611
324,"MR","North","N","Room 1","Warm",1.15382,0.998889,1.049481,0.105094009,0.65962189,1.033374217,953,1612,6349,1187,1639,5436,8.728,66,7.922,65,-1,-0.806,-0.3331032,NA,NA,NA,NA
326,"MR","North","N","Room 1","Warm",1.187499,1.433289,1.032493,0.795453397,0.07436816,0.238205305,489,629,7224,534,2802,15418,12.584,70,14.507,72,2,1.923,-0.9900416,0.926406581,1.381140299,11.1230344,4.471984
327,"MR","North","Y","Room 2","Warm",0.76998,1.457964,0.86893,3.730446095,0.016344836,9.8231392,626,876,9114,579,1041,3186,7.52,59,9.041,59,0,1.521,-3.5713,1.093372203,1.33344853,1.995361089,2.915615343
330,"MR","North","N","Room 3","Cool",1.016251,1.107993,0.918375,2.570631195,2.721463761,0.754006984,562,1656,2815,574,1323,2029,13.803,69,15.303,71,2,1.5,0.0293273,1.18981196,1.466405695,0.843421333,0.289611437
