"ID","Sex","Pop","Clade","Bib","Room","SVL","Position","Circuit","Treatment","Day...11","DATE","START_time","START_temp","Mass","Tgape_time_MAX","Vtmax_rate_CT_MAX","Tgape_rate","Vtmax","Tgape","Tincrease","Day...22","Date","START_time_MIN","START_temp_MIN","CTmin_time","Ctmin","CTmin_rate"
395,"Male","NRKT","South","Y","Room 3",68,"Upper",1,"Cool",1,"23/5/2024",01:58:00,33.23,14.33,13.3,1.566071,0.7640712,37.1045,43.4921,10.26,NA,NA,NA,NA,NA,NA,NA
363,"Male","KNGA","South","N","Room 3",66,"Lower",2,"Cool",1,"23/5/2024",12:49:00,31.65,10.28,8.28,1.475905,1.246938,37.936,41.4459,9.79,NA,NA,NA,NA,NA,NA,NA
379,"Male","KNGA","South","N","Room 1",60,"Upper",1,"Warm",9,"11/6/2024",13:35:00,32.24,9.41,10.03,1.240588,1.237292,33.38,42.1423,9.9,2,"19/6/2024","9:45",20.4159,25.66,9.2658,-0.5009228
399,"Male","NRKT","South","Y","Room 3",65,"Upper",3,"Warm",11,"12/6/2024",11:34:00,33.93,1.6,8.85,1.240079,1.177623,39.5083,42.5755,8.64,4,"22/6/2024","10:36",20.4362,28.85,7.9861,-0.4811384
409,"Male","NRKT","South","Y","Room 1",60,"Lower",2,"Warm",7,"5/6/2024",12:05:00,30.21,10.08,12.65,1.215108,0.862489,37,41.63,11.42,2,"19/6/2024","11:26",19.9455,33.36,6.497,-0.4691701
316,"Male","STURT","North","Y","Room 2",77,"Lower",3,"Cool",1,"23/5/2024",02:22:00,34.56,18.67,12.52,1.198036,0.6303102,42.6202,43.9888,9.42,3,"20/6/2024","12:30",19.3276,32.93,6.5142,-0.4364448
364,"Male","KNGA","South","Y","Room 3",65,"Upper",2,"Warm",11,"11/6/2024",16:53:00,32.06,13.75,8.38,1.190178,1.103083,37.157,40.471,8.41,1,"18/6/2024","16:45",20.5269,20.86,10.5298,-0.5062705
408,"Male","NRKT","South","N","Room 1",60,"Lower",3,"Cool",6,"5/6/2024",10:33:00,32.68,10.84,14.02,1.187545,1.027767,40.472,43.8192,11.14,2,"19/6/2024","10:15",20.1769,22.96,9.9705,-0.5066431
366,"Male","KNGA","South","N","Room 1",67,"Lower",4,"Warm",7,"5/6/2024",12:22:00,33.36,10.83,9.28,1.171796,0.9857588,40.02,41.834,8.48,4,"21/6/2024","12:30",20.4566,24.05,10.3548,-0.496131
393,"Male","NRKT","South","Y","Room 3",65,"Lower",3,"Cool",3,"29/5/2024",10:06:00,33.62,13.45,9.2,1.153952,1.028881,38.63,42.32,8.7,4,"22/6/2024","10:36",19.9112,52.1,5.15,-0.3488876
339,"Male","MR","North","Y","Room 1",75,"Lower",2,"Cool",11,"12/6/2024",10:37:00,32.38,14.97,10.37,1.126891,1.08696,38.65176,42.3692,9.99,1,"18/6/2024","12:44",20.5316,30.2,9.8814,-0.416826
356,"Male","KNGA","South","Y","Room 2",65,"Lower",2,"Cool",8,"11/6/2024",14:06:00,32.96,13.64,14.35,1.106806,0.7145181,38.6723,43.2731,10.31,6,"24/6/2024","14:00",20.8925,33.3,8.6056,-0.4250217
338,"Male","MR","North","N","Room 2",67,"Lower",4,"Cool",4,"29/5/2024",13:05:00,34.38,10.74,9.43,1.10061,1.131316,40.5912,43.5892,9.2,4,"21/6/2024","14:50",20.7605,35.5,6.504,-0.4374151
365,"Male","KNGA","South","N","Room 2",68,"Lower",1,"Cool",11,"11/6/2024",16:33:00,33.96,11.78,10.84,1.099576,0.9623421,39.84,43.227,9.26,1,"18/6/2024","14:32",21.9816,24.85,11.0658,-0.5037944
312,"Male","STURT","North","N","Room 1",77,"Upper",2,"Cool",1,"23/5/2024",12:15:00,33.31,13.49,12.12,1.091617,1.029438,43.7671,43.9554,10.65,5,"21/6/2024","11.53",20.5706,28.46,8.71,-0.57658
371,"Male","KNGA","South","N","Room 3",67,"Upper",3,"Cool",5,"31/5/2024",10:48:00,32.46,11.46,9.82,1.086766,1.057474,39.5174,42.1492,9.69,6,"24/6/2024","15:34",20.0019,34.83,6.7048,-0.4261642
411,"Male","NRKT","South","N","Room 2",61,"Lower",1,"Warm",3,"29/5/2024",09:49:00,33.46,8.57,8.4,1.084762,1.130983,36.8451,41.4629,8,5,"22/6/2024","14:09",19.6628,17.86,9.386,-0.6162558
