"ID","ORDER","Population","Clade","Bib","Room","Room order","Treatment","Mites","Jan Sample","Jan_IQ","May_IQ"
290,108,"STURT","North","Y","Room 3",7,"Cool",NA,1,9.2,8.2
291,11,"STURT","North","N","Room 1",13,"Warm",NA,1,6.9,7.8
293,100,"STURT","North","N","Room 1",17,"Warm",NA,1,9.1,5.4
294,19,"STURT","North","N","Room 3",11,"Cool",NA,1,8.7,9.2
297,25,"STURT","North","Y","Room 2",21,"Warm",NA,1,8.2,6.5
298,20,"STURT","North","Y","Room 1",8,"Cool","1 mite left nape",1,9.1,8.2
299,101,"STURT","North","Y","Room 1",5,"Warm",NA,1,9.2,8.9
302,69,"STURT","North","N","Room 2",17,"Cool",NA,1,8.2,8.7
303,93,"STURT","North","Y","Room 3",28,"Warm",NA,1,8.4,6.9
304,77,"STURT","North","Y","Room 3",4,"Warm",NA,1,9.1,7.8
305,47,"STURT","North","N","Room 3",23,"Warm",NA,1,6.9,5.7
308,54,"STURT","North","N","Room 3",18,"Cool",NA,1,8.7,9.2
309,48,"STURT","North","Y","Room 1",15,"Warm",NA,1,7.6,8.1
311,21,"STURT","North","N","Room 3",12,"Cool",NA,1,9.1,8.2
312,39,"STURT","North","N","Room 1",27,"Cool",NA,1,9.2,9.2
315,70,"STURT","North","N","Room 2",14,"Warm",NA,1,6.5,5.7
317,122,"STURT","North","N","Room 2",23,"Warm","3 mites in right ear, 3 mites in right eyelid",1,8.4,7.8
318,117,"STURT","North","Y","Room 1",21,"Cool",NA,1,8.2,9.2
319,49,"STURT","North","N","Room 2",18,"Cool",NA,1,7.8,5.7
320,71,"MR","North","N","Room 3",20,"Cool",NA,1,9.1,8.9
321,1,"MR","North","N","Room 3",5,"Warm",NA,1,5.7,8.7
322,32,"MR","North","Y","Room 3",1,"Warm",NA,1,7.9,6.9
323,40,"MR","North","Y","Room 1",22,"Cool",NA,1,7.8,7.8
324,94,"MR","North","N","Room 1",14,"Warm",NA,1,9.1,8.4
326,95,"MR","North","N","Room 1",18,"Warm",NA,1,6.9,7.8
327,102,"MR","North","Y","Room 2",10,"Warm",NA,1,9.2,9.1
330,61,"MR","North","N","Room 3",8,"Cool",NA,1,5.7,8.4
331,118,"MR","North","Y","Room 1",11,"Cool",NA,1,8.9,6.9
332,33,"MR","North","Y","Room 3",22,"Warm",NA,1,7.8,9.1
334,12,"MR","North","Y","Room 3",14,"Cool",NA,1,5.7,7.8
337,34,"MR","North","Y","Room 2",1,"Cool",NA,1,8.1,8.7
338,13,"MR","North","N","Room 2",7,"Cool",NA,1,8.2,5.7
339,22,"MR","North","Y","Room 1",24,"Cool",NA,1,9.2,6.9
340,35,"MR","North","N","Room 2",16,"Cool",NA,1,7.8,8.9
341,86,"MR","North","N","Room 2",24,"Warm",NA,1,8.4,8.2
344,36,"MR","North","Y","Room 2",13,"Warm",NA,1,6.7,7.8
346,123,"MR","North","N","Room 1",26,"Cool",NA,1,7.8,8.1
347,62,"MR","North","Y","Room 3",27,"Warm",NA,1,8.7,9.2
351,124,"KNGA","South","N","Room 3",25,"Warm",NA,1,8.4,7.8
353,41,"KNGA","South","Y","Room 1",2,"Warm",NA,1,8.3,8.7
356,78,"KNGA","South","Y","Room 2",2,"Cool",NA,1,8.9,9.1
357,63,"KNGA","South","Y","Room 2",12,"Warm",NA,1,9.1,9.2
359,72,"KNGA","South","Y","Room 2",9,"Warm",NA,1,8.2,8.4
361,55,"KNGA","South","Y","Room 3",6,"Warm",NA,1,7.8,9.2
363,42,"KNGA","South","N","Room 3",10,"Cool",NA,1,8.4,6.6
364,50,"KNGA","South","Y","Room 3",26,"Warm",NA,1,8.7,9.1
365,23,"KNGA","South","N","Room 2",6,"Cool",NA,1,8.9,9.2
366,26,"KNGA","South","N","Room 1",4,"Warm","3 mites left nape, 1 mite right nape",1,9.1,8.4
367,27,"KNGA","South","Y","Room 2",15,"Warm",NA,1,8.4,9.2
369,119,"KNGA","South","N","Room 1",6,"Warm",NA,1,8.9,8.2
371,109,"KNGA","South","N","Room 3",13,"Cool",NA,1,5.5,6.5
375,103,"KNGA","South","Y","Room 1",20,"Cool",NA,1,9.2,8.7
376,87,"KNGA","South","N","Room 1",10,"Cool",NA,1,9.1,6.6
377,2,"KNGA","South","Y","Room 1",23,"Cool",NA,1,5.8,9.1
378,120,"KNGA","South","Y","Room 2",4,"Cool",NA,1,8.4,5.7
379,79,"KNGA","South","N","Room 1",1,"Warm",NA,1,8.4,9.2
380,3,"KNGA","South","N","Room 3",9,"Cool",NA,1,9.1,7.8
381,28,"KNGA","South","Y","Room 3",15,"Cool",NA,1,8.7,8.9
384,121,"NGKT","South","Y","Room 2",3,"Cool",NA,1,8.9,8.7
385,29,"NGKT","North","Y","Room 2",11,"Warm",NA,1,9.1,6.8
392,4,"NGKT","South","Y","Room 1",7,"Cool",NA,1,8.7,8.4
393,110,"NGKT","South","Y","Room 3",17,"Cool",NA,1,8.1,9.1
395,56,"NGKT","South","Y","Room 3",16,"Cool",NA,1,8.9,6.6
396,57,"NGKT","South","Y","Room 2",20,"Cool",NA,1,9.1,8.4
397,14,"NGKT","South","N","Room 2",8,"Cool",NA,1,5.5,9.1
398,88,"NGKT","South","Y","Room 2",22,"Warm",NA,1,8.7,8.7
399,58,"NGKT","South","Y","Room 3",3,"Warm",NA,1,7.8,8.4
401,80,"NGKT","South","Y","Room 3",21,"Warm",NA,1,8.9,8.5
402,96,"NGKT","South","N","Room 3",2,"Warm",NA,1,8.4,5.5
403,64,"NGKT","South","Y","Room 2",5,"Cool",NA,1,5.8,8.1
404,59,"NGKT","South","Y","Room 1",3,"Warm",NA,1,9.1,8.7
405,65,"NGKT","South","N","Room 3",24,"Warm",NA,1,8.7,6.8
406,51,"NGKT","South","Y","Room 3",19,"Cool",NA,1,8.9,9.1
407,52,"NGKT","South","N","Room 1",16,"Warm",NA,1,9.1,8.9
408,111,"NGKT","South","N","Room 1",9,"Cool",NA,1,8.7,6.6
409,89,"NGKT","South","Y","Room 1",19,"Warm",NA,1,8.1,9.1
410,112,"NGKT","South","Y","Room 1",12,"Warm",NA,1,8.4,6.9
411,97,"NGKT","South","N","Room 2",25,"Warm",NA,1,9.1,8.7
412,15,"NGKT","South","N","Room 1",25,"Cool",NA,1,8.9,8.9
