"name","Primer","Given conc","indiv_PCR_eff","threshold","mean_PCR_eff","Cq","N0"
"1_DIL__1","GAPDH",0.25,2.302,0.484,2.025,22.398,6.61e-08
"2_DIL__1","GAPDH",0.25,1.977,0.484,2.025,21.7,1.08e-07
"3_DIL__1","GAPDH",0.25,1.926,0.484,2.025,21.573,1.18e-07
"4_DIL__2","GAPDH",0.0625,2.023,0.484,2.025,23.877,2.33e-08
"5_DIL__2","GAPDH",0.0625,2.058,0.484,2.025,23.86,2.36e-08
"6_DIL__2","GAPDH",0.0625,1.945,0.484,2.025,23.855,2.36e-08
"7_DIL__3","GAPDH",0.015625,2.137,0.484,2.025,26.532,3.57e-09
"8_DIL__3","GAPDH",0.015625,2.063,0.484,2.025,26.449,3.79e-09
"9_DIL__3","GAPDH",0.015625,1.924,0.484,2.025,26.111,4.81e-09
"10_DIL__4","GAPDH",0.00390625,2.023,0.484,2.025,28.472,9.09e-10
"11_DIL__4","GAPDH",0.00390625,2.141,0.484,2.025,28.758,7.43e-10
"12_DIL__4","GAPDH",0.00390625,2.045,0.484,2.025,28.788,7.27e-10
"13_DIL__5","GAPDH",0.000976563,1.91,0.484,2.025,31.142,2.11e-10
"15_DIL__5","GAPDH",0.000976563,2.017,0.484,2.025,31.268,9.53e-11
"16_DIL__6","GAPDH",0.000244141,2.045,0.484,2.025,33.01,-999
"17_DIL__6","GAPDH",0.000244141,2.067,0.484,2.025,32.957,3.84e-11
"18_DIL__6","GAPDH",0.000244141,2.083,0.484,2.025,33.506,-999
"1_DIL__1","TERT",0.25,2.035,0.484,2.025,25.281,8.64e-09
"2_DIL__1","TERT",0.25,2.002,0.484,2.025,25.462,7.61e-09
"3_DIL__1","TERT",0.25,2.012,0.484,2.025,25.407,7.91e-09
"4_DIL__2","TERT",0.0625,1.951,0.484,2.025,27.596,1.69e-09
"5_DIL__2","TERT",0.0625,2.031,0.484,2.025,27.406,1.93e-09
"6_DIL__2","TERT",0.0625,2.017,0.484,2.025,27.475,1.84e-09
"7_DIL__3","TERT",0.015625,2.057,0.484,2.025,29.704,3.81e-10
"8_DIL__3","TERT",0.015625,1.982,0.484,2.025,29.357,4.87e-10
"9_DIL__3","TERT",0.015625,2.13,0.484,2.025,29.509,4.37e-10
"40_DIL__4","TERT",0.00390625,1.989,0.484,2.025,31.219,1.31e-10
"41_DIL__4","TERT",0.00390625,2.032,0.484,2.025,31.324,1.21e-10
"42_DIL__4","TERT",0.00390625,1.929,0.484,2.025,31.226,1.3e-10
"43_DIL__5","TERT",0.000976563,1.897,0.484,2.025,32.968,-999
"44_DIL__5","TERT",0.000976563,1.822,0.484,2.025,32.62,-999
"45_DIL__5","TERT",0.000976563,1.856,0.484,2.025,32.942,-999
"46_DIL__6","TERT",0.000244141,1.856,0.484,2.025,34.86,-999
"37_DIl_6","TERT",0.000244141,2.083,0.484,2.025,34.66,2.61e-11
"DIL_6","TERT",0.000244141,2.083,0.484,2.025,34.506,-999
